Protein.ID	HRD
jg115164.t1	serine threonine tyrosine kinase
jg115162.t1	serine threonine tyrosine kinase
jg115160.t1	oil body
jg123888.t1	histone h2b
jg199735.t1	nrt1 ptr
jg199734.t1	macpf cad1
jg199729.t1	heat shock kda
jg199727.t1	26s proteasome regulatory subunit rpn11
jg199726.t1	seipin
jg199725.t1	aquaporin nip1
jg199724.t1	aquaporin nip1
jg199723.t1	aquaporin nip1
jg199720.t1	pyridoxal phosphate synthase subunit pdx1
jg199716.t1	ctd small phosphatase
jg199714.t1	lateral signaling target
jg199713.t1	ankyrin repeat
jg26301.t1	pentatricopeptide repeat at5g59600
jg174393.t1	wrky transcription factor
jg174374.t1	pentatricopeptide repeat at3g62470 mitochondrial
jg174434.t1	ethylene responsive transcription factor
jg174417.t1	wat1
jg174416.t1	target rapamycin complex subunit lst8
jg73420.t3	structural maintenance chromosomes
jg73421.t1	phospho dehydro deoxyheptonate aldolase
jg73423.t1	pentatricopeptide repeat at3g53360 mitochondrial isoform
jg73425.t1	cellulose synthase
jg73432.t1	receptor serine threonine kinase
jg73439.t1	midasin
jg73444.t1	aquaporin nip1
jg73445.t1	bifunctional th2 mitochondrial
jg73446.t1	aquaporin nip1
jg73449.t1	lrr receptor serine threonine kinase
jg73448.t1	lrr receptor serine threonine kinase
jg73453.t1	lrr receptor serine threonine kinase isoform
jg73454.t1	lrr receptor serine threonine kinase
jg73456.t1	lrr receptor serine threonine kinase
jg73460.t2	lrr receptor serine threonine kinase isoform
jg73461.t1	non specific serine threonine kinase
jg73475.t1	pre mrna splicing factor syf1
jg73485.t1	o fucosyltransferase
jg73486.t1	nucleobase ascorbate transporter
jg24012.t1	calmodulin binding receptor kinase camrlk
jg24029.t1	serine threonine kinase
jg6485.t1	serine threonine kinase
jg6483.t1	dog1
jg6482.t1	lrr receptor serine threonine kinase
jg6472.t1	cysteine dioxygenase
jg199567.t1	low temperature induced cysteine proteinase
jg199568.t1	peroxin
jg199580.t1	trihelix transcription factor asil2
jg118147.t1	light dependent short hypocotyls
jg52042.t1	dof zinc finger dof1
jg52048.t1	pollen allergen ole e
jg52050.t1	14_3_3
jg211262.t1	duf676
jg211245.t1	senescence specific cysteine protease sag39
jg211228.t2	puromycin sensitive aminopeptidase isoform
jg211224.t2	puromycin sensitive aminopeptidase isoform
jg211210.t1	senescence specific cysteine protease sag39
jg211198.t1	senescence specific cysteine protease sag39
jg211195.t1	senescence specific cysteine protease sag39
jg211197.t1	senescence specific cysteine protease sag39
jg211180.t1	bhlh transcription factor
jg65408.t1	ynl011c
jg181448.t1	senescence specific cysteine protease
jg181434.t1	senescence specific cysteine protease
jg4193.t1	senescence specific cysteine protease sag39
jg4186.t1	senescence specific cysteine protease sag39
jg4185.t1	50s ribosomal l34
jg215480.t1	phospholipase a1 ii
jg215501.t1	40s ribosomal s27
jg215511.t1	40s ribosomal s27
jg215526.t1	gdsl esterase lipase
jg201429.t1	gdsl esterase lipase
jg201427.t1	gdsl esterase lipase
jg201426.t1	pyruvate decarboxylase
jg201425.t1	pentatricopeptide repeat at1g28690 mitochondrial
jg201424.t1	tho complex subunit 7a
jg201412.t1	gdsl esterase lipase
jg201411.t1	purine permease
jg201407.t1	spermidine sinapoyl coa acyltransferase
jg201405.t1	mg protoporphyrin ix chelatase
jg201404.t2	nudix hydrolase mitochondrial
jg201398.t1	pentatricopeptide ppr repeat
jg201396.t1	iq isoform
jg201393.t1	50s ribosomal l2
jg201389.t1	elongation factor alpha
jg55161.t1	pre mrna splicing factor atp dependent rna helicase deah9
jg55162.t1	glutamate receptor
jg55163.t1	glutamate receptor
jg55170.t1	gdsl esterase lipase at5g45960
jg55181.t1	ethylene responsive transcription factor erf091
jg55183.t1	ethylene responsive transcription factor
jg55185.t1	phosphoribosyl 5imidazole carboxamide isomerase
jg131566.t1	wuschel homeobox
jg131575.t1	ras rab 11b
jg131578.t1	leucine rich repeat receptor serine threonine kinase
jg131582.t1	kda heat acid stable phosphoprotein
jg131589.t1	udp glycosyltransferase
jg131608.t1	transcription elongation factor
jg131623.t1	dctp pyrophosphatase
jg131633.t1	opa3
jg217139.t1	auxin response factor
jg217128.t1	glutaredoxin c9
jg217116.t1	nac
jg217105.t1	receptor serine threonine kinase
jg217104.t1	trna adenine n methyltransferase
jg217103.t1	leucine rich repeat receptor serine threonine kinase
jg200061.t1	dmp6
jg200060.t1	pentatricopeptide repeat at5g46100
jg200056.t2	homeobox ddt rlt1
jg200055.t1	dnaj b
jg200047.t1	dnaj b
jg22221.t1	e6
jg22240.t1	loc101511791 isoform x2
jg214703.t1	ethylene responsive transcription factor
jg75012.t1	ethylene responsive transcription factor
jg75008.t1	lrr receptor serine threonine kinase
jg75004.t1	c3h1 type
jg74990.t1	auxin repressed dormancy
jg74984.t1	glyoxysomal processing protease isoform
jg74981.t1	squamosa promoter binding
jg141904.t1	dof zinc finger
jg141910.t1	guanosine nucleotide diphosphate dissociation inhibitor
jg141911.t1	guanosine nucleotide diphosphate dissociation inhibitor
jg141922.t1	40s ribosomal s6
jg141929.t2	transcriptional corepressor leunig isoform
jg141935.t1	smg7l isoform
jg141952.t1	vq motif
jg141965.t1	eukaryotic translation initiation factor subunit d
jg110039.t1	transcription factor bhlh162
jg110040.t1	serine threonine kinase ht1
jg110060.t1	ketoacyl coa synthase
jg110067.t1	l type lectin receptor kinase
jg110074.t1	loc101495908 isoform x1
jg110096.t1	ubiquitin conjugating enzyme e2
jg110098.t2	beta glucan synthase
jg110099.t1	beta glucan synthase
jg110126.t1	e3 ubiquitin ligase rma1h1
jg110129.t1	pentatricopeptide repeat at1g08070 chloroplastic
jg110130.t1	trna cytidine guanosine o methyltransferase
jg110132.t1	enoyl coa delta isomerase peroxisomal
jg110135.t1	enoyl coa delta isomerase peroxisomal
jg110140.t1	pentatricopeptide repeat at4g21705 mitochondrial
jg110141.t1	rubber elongation factor
jg110145.t1	nuclear rna export factor sde5
jg110147.t1	dof zinc finger
jg110148.t2	splicing factor 3b subunit
jg110155.t1	lactosylceramide alpha galactosyltransferase
jg110156.t1	dihydroflavonol reductase
jg136183.t1	clathrin light chain
jg136184.t1	rich receptor serine threonine kinase
jg136186.t1	mediator rna polymerase ii transcription subunit isoform
jg137485.t1	mediator rna polymerase ii transcription subunit isoform
jg137486.t1	duf3700
jg137487.t2	duf3700
jg137490.t1	u2 snrnp auxiliary factor large subunit
jg137488.t1	retrovirus pol polyprotein from transposon tnt
jg137489.t2	u2 snrnp auxiliary factor large subunit
jg137498.t1	acetolactate synthase
jg191800.t1	cbs cbsx5
jg191803.t1	ring type
jg191804.t1	sphingolipid delta desaturase des1
jg191805.t1	allantoinase
jg191809.t1	polyphenol oxidase a1 chloroplastic
jg191821.t1	polyphenol oxidase a1 chloroplastic
jg191823.t1	cellulose synthase interactive isoform
jg191845.t1	polyphenol oxidase a1 chloroplastic
jg38183.t1	polyphenol oxidase a1 chloroplastic
jg49629.t1	polyphenol oxidase a1 chloroplastic
jg49593.t1	dna directed rna polymerase
jg49592.t1	dna directed rna polymerase subunit beta
jg49591.t1	dna directed rna polymerase
jg49590.t1	dna directed rna polymerase
jg49589.t2	dna directed rna polymerase subunit
jg49587.t1	dna directed rna polymerase
jg49571.t1	polyphenol oxidase a1 chloroplastic
jg49564.t1	at4g04980
jg49563.t1	cop1 isoform
jg158578.t1	ent kaurene synthase chloroplastic
jg158564.t1	ent kaurene synthase chloroplastic
jg158554.t1	leucine rich repeat receptor serine threonine kinase
jg120265.t1	chaperone dnaj
jg120251.t1	helicase transcription factor chr28 isoform
jg120244.t1	glucose induced degradation isoform
jg120227.t1	f box kelch repeat
jg120202.t1	14_3_3
jg120199.t1	receptor kinase
jg120196.t1	katanin p80 wd40 repeat subunit b1
jg197819.t1	aspergillus nuclease s
jg197818.t1	60s ribosomal l26
jg197814.t1	quinone oxidoreductase pig3
jg197802.t1	transmembrane 184a
jg197796.t1	pre mrna splicing factor syf1
jg130593.t1	sphingosine kinase
jg130589.t1	calmodulin binding
jg130588.t1	40s ribosomal s21
jg130584.t1	fbd f box
jg130582.t1	f box
jg130551.t1	heterogeneous nuclear ribonucleoprotein u
jg130544.t1	nadh ubiquinone reductase non electrogenic
jg130532.t1	pap specific phosphatase mitochondrial isoform
jg130523.t1	myb transcription factor
jg130506.t1	lysine specific demethylase jmj25 isoform
jg130505.t1	kinase ubib
jg130497.t1	equilibrative nucleotide transporter
jg130496.t1	cation h + antiporter
jg130464.t1	nitric oxide synthase ring type
jg130462.t1	b box type zinc finger
jg130453.t1	ubiquitin thioesterase
jg130452.t1	calcium binding ef hand
jg130440.t1	lea_2
jg130438.t1	g type lectin s receptor serine threonine kinase
jg130437.t1	g type lectin s receptor serine threonine kinase
jg130414.t2	wd repeat
jg130412.t1	oleosin kda
jg130411.t1	g type lectin s receptor serine threonine kinase
jg130409.t1	diaminopimelate decarboxylase chloroplastic
jg130410.t1	diaminopimelate decarboxylase chloroplastic
jg130407.t1	nad p h dehydrogenase quinone
jg130406.t1	bhlh transcription factor
jg167728.t1	multiple organellar rna editing factor chloroplastic mitochondrial
jg167723.t1	50s ribosomal l23 chloroplastic
jg167722.t1	btb poz nph3
jg167705.t1	hydroxy methyl oxoglutarate aldolase
jg167703.t1	transcription factor
jg167686.t1	kinesin kin
jg167685.t1	thioredoxin h type
jg127526.t1	sulfite exporter taue safe
jg127532.t1	pathogenesis
jg127554.t1	cap cysteine rich secretory antigen
jg127559.t1	cap cysteine rich secretory antigen
jg127560.t1	cap cysteine rich secretory antigen
jg127561.t1	cap cysteine rich secretory antigen
jg127562.t1	cysteine rich venom
jg127563.t1	cap cysteine rich secretory antigen
jg127565.t1	cap cysteine rich secretory antigen
jg127566.t1	cap cysteine rich secretory antigen
jg127567.t1	cysteine rich venom
jg127571.t1	cap cysteine rich secretory antigen
jg127572.t1	cap cysteine rich secretory antigen
jg127574.t1	cap cysteine rich secretory antigen
jg127575.t1	cysteine rich venom
jg127583.t1	pathogenesis
jg127585.t1	pathogenesis
jg67756.t1	pectin methylesterase cgr3
jg67744.t1	metal transporter cnnm4
jg67732.t1	proline iminopeptidase
jg67714.t1	leucine rich repeat receptor serine threonine kinase
jg67702.t1	40s ribosomal s11
jg67700.t1	transcription factor bhlh
jg67693.t1	cytochrome p450 89a2
jg67691.t1	cytochrome p450
jg67690.t1	sphingolipid transporter spinster
jg127480.t1	inorganic pyrophosphatase
jg127473.t1	e3 ubiquitin ligase rmd5
jg127467.t1	glutamyl trna gln amidotransferase subunit a
jg127456.t1	transcription factor gte7
jg127455.t1	transcription factor chloroplastic
jg127454.t1	dna polymerase v
jg127445.t1	chaperone dnak
jg127443.t1	zinc transport zntb
jg127440.t1	lrr receptor kinase
jg127439.t1	lrr receptor kinase
jg127433.t1	transport sec61 subunit alpha
jg127432.t1	transport sec61 subunit alpha
jg127431.t1	oligopeptide transporter
jg127423.t1	mads box transcription factor
jg127424.t1	mads box transcription factor
jg127420.t1	mads box transcription factor
jg127417.t1	cinnamyl alcohol dehydrogenase
jg144107.t1	u3 small nucleolar rna
jg144096.t1	gtd binding
jg144089.t1	pentatricopeptide repeat at4g31070 mitochondrial
jg144087.t1	methylmalonate semialdehyde dehydrogenase
jg144086.t1	udp glycosyltransferase
jg144085.t1	glycosyltransferase
jg144083.t1	udp glycosyltransferase
jg137007.t1	glutamine amidotransferase type
jg137009.t1	dynamin 3a
jg137011.t1	wall receptor kinase
jg137012.t1	wall receptor kinase
jg137013.t1	costars
jg137014.t2	binding kh
jg131297.t1	at4g38062
jg131298.t1	magnesium dependent phosphatase
jg159178.t1	ring h2 finger atl54
jg159180.t1	ring h2 finger atl54
jg159183.t1	btb poz
jg159200.t1	transcription factor bhlh143
jg159204.t1	peptidylprolyl isomerase
jg159215.t1	carbonic anhydrase
jg159241.t1	ubiquitin specific protease 2a isoform
jg159246.t1	gtp cyclohydrolase ii
jg159259.t1	gtp cyclohydrolase ii
jg159265.t1	gtp cyclohydrolase ii
jg151981.t1	dna helicase
jg151997.t1	trna cytosine c methyltransferase
jg151998.t1	splicing factor 3b subunit
jg151999.t1	phospho dehydro deoxyheptonate aldolase
jg152000.t1	methyl cpg binding isoform
jg152002.t1	metacaspase isoform
jg152006.t1	metacaspase
jg152007.t1	metacaspase
jg152016.t1	polyprotein
jg152024.t1	gpi anchored
jg35373.t1	u3 small nucleolar rna
jg35380.t1	ab hydrolase
jg35381.t1	ribosome biogenesis regulatory
jg35395.t1	phosphatase 2c
jg54144.t1	calmodulin binding transcription activator isoform
jg54143.t1	calmodulin binding transcription activator
jg54147.t1	s isoprenylcysteine o methyltransferase
jg54159.t1	copper transporting atpase paa1 chloroplastic isoform
jg54161.t1	potassium transporter
jg143919.t1	pumilio chloroplastic
jg143921.t1	lnk1 isoform
jg143922.t1	inactive leucine rich repeat receptor kinase
jg143928.t1	peroxidase
jg143929.t1	peroxidase
jg143950.t1	chlorophyll a b binding chloroplastic
jg143953.t1	phosphatase ptc7 fig
jg143955.t1	non specific lipid transfer
jg143971.t1	chaperone dnaj
jg143972.t1	chaperone dnaj
jg143975.t1	chaperone dnaj
jg188182.t1	chaperone dnaj
jg188188.t1	chaperone dnaj
jg188194.t1	chaperone dnaj
jg188158.t1	chaperone dnaj
jg188110.t1	high affinity sulfate transporter
jg188107.t1	high affinity sulfate transporter
jg188105.t1	high affinity sulfate transporter
jg43860.t1	high affinity sulfate transporter
jg43867.t1	f box kelch repeat
jg43868.t1	ll diaminopimelate aminotransferase chloroplastic
jg43875.t1	lrr receptor serine threonine kinase
jg43878.t1	lrr receptor serine threonine kinase
jg43896.t1	laccase
jg43913.t1	exo beta xylosidase
jg43914.t1	udp glycosyltransferase
jg43925.t1	udp glycosyltransferase
jg43926.t1	udp glycosyltransferase
jg43929.t1	phosphatidylserine decarboxylase proenzyme
jg43934.t1	60s ribosomal l44
jg43935.t1	clathrin assembly at1g03050
jg43936.t1	peroxidase
jg22150.t1	glycine rich rna binding inducible
jg22146.t1	cytochrome b c1 complex subunit
jg22145.t1	cytochrome b c1 complex subunit
jg22143.t1	vacuolar iron transporter
jg131560.t1	histidine decarboxylase
jg131554.t1	cullin
jg131553.t1	d fructose bisphosphate phosphohydrolase
jg131552.t1	actin
jg131543.t1	cullin
jg131529.t1	wat1
jg153287.t1	wat1
jg153274.t2	wat1
jg153268.t1	tubby
jg158985.t1	bidirectional sugar transporter sweet
jg158983.t1	charged multivesicular body 4b
jg158982.t1	o acetyltransferase
jg158980.t1	fas1
jg158977.t1	cop9 signalosome complex subunit
jg158969.t4	separase
jg158965.t1	pinin
jg158964.t1	26s proteasome regulatory subunit 6a
jg158956.t1	ribosome assembly factor mrt4
jg158951.t1	partner y14 mago
jg158950.t1	transmembrane 87b
jg158948.t1	suppressor silencing
jg158936.t1	patatin
jg158935.t1	pap_fibrillin
jg158927.t1	f box fbd lrr repeat
jg158916.t1	e3 ubiquitin ligase rnf126
jg158911.t1	plastid lipid chloroplastic
jg158908.t1	f box
jg158906.t1	transmembrane emp24 eca
jg158904.t1	at1g10890 isoform x1
jg158873.t1	pentatricopeptide repeat at1g10910 chloroplastic
jg158872.t1	ketoacyl coa synthase
jg158871.t1	ribosomal l14
jg158869.t1	atp dependent rna helicase
jg84473.t1	udp glucose glycoprotein glucosyltransferase
jg84477.t1	chaperone clpb
jg84483.t1	lrr receptor serine threonine kinase
jg38790.t1	ribonuclease t
jg38816.t1	f box interaction
jg38810.t1	ribonuclease t
jg38804.t1	f box interaction
jg38793.t1	f box interaction
jg38820.t1	ribonuclease t
jg38780.t1	f box interaction
jg168616.t1	gata transcription factor
jg168615.t1	dnaj b
jg168614.t1	membralin at1g60995
jg168611.t1	membralin
jg168603.t1	dna directed rna polymerase iii subunit rpc6
jg119370.t1	potassium channel akt2 isoform
jg119372.t1	potassium channel akt2 isoform
jg119375.t1	potassium channel akt2 isoform
jg119387.t1	serine hydroxymethyltransferase
jg91269.t1	t complex
jg91252.t1	atp dependent dna helicase
jg91251.t1	thiamine phosphate pyrophosphorylase
jg91250.t1	serine threonine kinase srk2a
jg91235.t1	transmembrane superfamily
jg91231.t1	ferredoxin
jg91230.t1	mlo
jg91228.t1	cleavage polyadenylation specificity factor subunit i
jg91223.t1	60s ribosomal l27
jg91222.t1	60s ribosomal l27
jg91220.t1	60s ribosomal l27
jg189051.t1	tcp transcription factor
jg189062.t1	ei24 isoform
jg189063.t1	50s ribosomal chloroplastic
jg189072.t1	magnesium transporter
jg189081.t1	atp phosphoribosyltransferase
jg189091.t1	nfu1 iron sulfur cluster scaffold mitochondrial
jg189095.t1	web at3g51220
jg16943.t1	at5g49945
jg16949.t1	ion channel sym8
jg110248.t1	pentatricopeptide repeat at1g14470
jg110249.t1	methionine s methyltransferase
jg110272.t1	squamous cell carcinoma antigen recognized by t cells isoform
jg110277.t1	nrt1 ptr
jg110291.t1	auxin response factor
jg110304.t1	mitogen kinase npk1
jg110308.t1	loc106780510 isoform x1
jg110313.t1	chloride channel clc c
jg110314.t1	zinc finger ccch isoform
jg110328.t1	cyclin dependent kinase
jg110329.t1	ras rab 1a
jg110344.t1	ras rab 11a
jg110346.t1	elongation factor gamma glutathione s transferase
jg110349.t2	kh at1g09660 isoform
jg110350.t2	regulator nonsense transcripts upf3 isoform
jg110363.t1	eukaryotic translation initiation factor subunit c
jg110365.t1	non specific serine threonine kinase
jg197346.t1	stromal kda heat shock chloroplastic
jg197354.t1	macpf
jg9385.t1	leucine rich repeat receptor serine threonine kinase
jg9389.t1	dmp3
jg9403.t1	dmp3
jg205644.t1	yth isoform
jg205643.t1	trna pseudouridine synthase
jg205642.t1	bromodomain factor
jg205640.t1	dmp3
jg43377.t1	nrt1 ptr
jg43376.t1	lrr disease resistance
jg43370.t1	upf0301
jg43367.t1	dihydroflavonol reductase
jg43369.t1	dihydroflavonol reductase
jg43364.t1	phosphoribosylformylglycinamidine cyclo ligase
jg43357.t1	pentatricopeptide repeat at1g59720 chloroplastic mitochondrial
jg43356.t1	o fucosyltransferase
jg43355.t1	deoxyguanosine kinase mitochondrial
jg43354.t1	methylesterase chloroplastic
jg43352.t1	b3 transcription factor
jg43347.t3	regulator nonsense transcripts upf3
jg167756.t1	eukaryotic translation initiation factor
jg167755.t1	agamous mads box agl11
jg117447.t2	cellulose synthase a catalytic subunit
jg117443.t1	gdsl esterase lipase
jg117442.t1	u2 snrnp auxiliary factor large subunit
jg117441.t1	splicing factor u2af large subunit
jg117440.t1	gdsl esterase lipase
jg117439.t3	splicing factor u2af large subunit b a
jg104698.t1	polysacc_synt_4
jg104696.t1	methyltransferase at1g22800 mitochondrial
jg104692.t1	f box kelch interaction
jg104671.t1	lysine histidine transporter
jg104668.t1	sister chromatid cohesion
jg104667.t1	e3 ubiquitin ligase rnf170
jg155315.t1	far1 sequence isoform
jg155314.t1	endoglucanase
jg155303.t1	glyoxylate succinic semialdehyde reductase
jg155302.t1	phytolongin phyl1
jg155293.t1	serine threonine kinase d6pkl1
jg155285.t1	kh rna binding
jg155284.t1	phosphatidylinositol phosphatidylcholine transfer sfh13 isoform
jg155283.t1	gpi anchored
jg155282.t1	f box actin
jg155276.t1	wd repeat c2a9
jg155273.t1	wd repeat c2a9
jg155272.t1	psi g
jg146575.t1	high mobility group b
jg146576.t1	berberine bridge enzyme
jg146577.t1	udp glycosyltransferase
jg146578.t1	udp glycosyltransferase
jg146584.t1	chloride channel
jg146593.t1	at4g26450
jg146625.t1	choline ethanolaminephosphotransferase
jg146626.t1	wpp
jg146628.t1	wrky transcription factor
jg146633.t1	lrr receptor serine threonine kinase
jg146664.t1	cop9 signalosome complex subunit
jg146666.t1	ankyrin repeat
jg146667.t1	peroxin
jg146668.t1	vacuolar sorting 9a isoform
jg146669.t1	mitochondrial intermediate peptidase
jg146671.t1	fam136a
jg206335.t1	pectinesterase inhibitor
jg206328.t1	pectinesterase inhibitor
jg206324.t1	pectinesterase inhibitor
jg206317.t1	pectinesterase inhibitor
jg206316.t1	pectinesterase inhibitor
jg206313.t1	pectinesterase inhibitor
jg206311.t1	pectinesterase inhibitor
jg165168.t1	pectinesterase
jg165167.t1	monocopper oxidase sks1
evgLocus_37806.mrna1	molybdopterin synthase sulfur carrier subunit
jg165165.t1	beta fructofuranosidase insoluble isoenzyme
jg165164.t1	trehalose phosphate phosphatase
jg165157.t1	folate biopterin transporter chloroplastic
jg165155.t1	pentatricopeptide repeat at2g13420 mitochondrial
jg165153.t1	f box
jg165149.t1	qwrf motif
jg21967.t1	derlin
jg21960.t2	e3 ubiquitin ligase
jg21958.t1	e3 ubiquitin ligase
jg21957.t1	ceramide kinase isoform
jg21956.t1	prohibitin
jg21955.t1	n beta acetylglucosaminyl l asparaginase isoform
jg21954.t1	sugar transport
jg21952.t1	sugar transport
jg116942.t1	phenylcoumaran benzylic ether reductase
jg116943.t1	phenylcoumaran benzylic ether reductase
jg116944.t1	amino oxononanoate synthase
jg116971.t1	cellulose synthase
jg116972.t1	e3 ubiquitin ligase rin2
jg78425.t1	histone acetyltransferase
jg83983.t1	60s ribosomal l11
jg83977.t1	porr
jg83976.t1	60s ribosomal l11
jg83968.t1	bifunctional fold mitochondrial
jg83964.t1	fluoride ion transporter crcb
jg83960.t1	prefoldin subunit
jg83959.t1	dnaj heat shock amino terminal
jg83954.t1	phospholipid transporting atpase
jg83950.t1	prefoldin subunit
jg83951.t1	phospholipid transporting atpase
jg83953.t1	prefoldin subunit
jg83949.t1	dnaj heat shock amino terminal
jg83948.t1	pentatricopeptide repeat chloroplastic
jg83941.t1	serrate rna effector molecule
jg83924.t2	ctd small phosphatase
jg47973.t1	nb arc disease resistance
jg47986.t1	multidrug resistance mdtg
jg48016.t1	zinc induced facilitator isoform
jg48022.t1	ethylene insensitive
jg48025.t1	pectinesterase
jg48026.t1	pectinesterase
jg178557.t1	abscisic acid insensitive
jg178559.t1	zinc induced facilitator
jg71151.t1	histone lysine n methyltransferase h3 specific suvh1
jg71152.t1	ring type
jg71153.t1	u11 u12 small nuclear ribonucleoprotein kda
jg71156.t1	ring type
jg71164.t1	transcription factor gamyb
jg71165.t1	proline rich receptor kinase
jg71166.t1	proline rich receptor kinase perk12 isoform
jg71169.t1	btb poz
jg71170.t1	abc transporter c
jg103913.t1	lrr nb arc disease resistance
jg103914.t1	methyl oxobutanoate hydroxymethyltransferase
jg103909.t1	transcription elongation factor spt6
jg103908.t1	transcription elongation factor spt6
jg103903.t1	cysteine rich receptor kinase
jg103904.t1	cysteine rich receptor kinase
jg129467.t1	cysteine rich receptor kinase
jg129466.t1	cysteine rich receptor kinase
jg129447.t1	cysteine rich receptor kinase
jg129446.t1	pentatricopeptide repeat at5g42450 mitochondrial
jg129440.t1	pentatricopeptide repeat at1g11290 chloroplastic
jg129438.t1	cysteine rich receptor kinase
jg129428.t1	pentatricopeptide repeat at2g31400 chloroplastic
jg129429.t1	pentatricopeptide repeat chloroplastic
jg129427.t1	pentatricopeptide repeat chloroplastic
jg129426.t1	pentatricopeptide repeat at1g11290 chloroplastic
jg129424.t1	zinc finger
jg129421.t1	dr1 corepressor isoform
jg129402.t1	nbs lrr disease resistance
jg129401.t1	nbs lrr disease resistance
jg129399.t1	cytochrome p450 isoform x1
jg129398.t1	nbs lrr disease resistance
jg129397.t1	wat1
jg16480.t1	choline ethanolamine kinase
jg135793.t1	transcription factor radialis
jg135797.t1	transcription factor radialis
jg135799.t1	maintenance psii under high light
jg135801.t1	nuclear intron maturase mitochondrial isoform
jg135816.t1	cytosolic sulfotransferase
jg24356.t1	40s ribosomal s19
jg24355.t1	bifunctional purine biosynthesis purh
jg24349.t1	dna replication complex gins psf1
jg24346.t1	abc transporter permease
jg24345.t1	disease resistance cc nbs lrr class
jg24344.t1	disease resistance isoform
jg24341.t1	tho complex subunit isoform
jg24321.t1	arginine n methyltransferase
jg60504.t2	ring type e3 ubiquitin transferase
jg60514.t1	transcription factor iiia isoform
evgLocus_116538_LC.mrna1	transmembrane
jg50283.t1	thioredoxin chloroplastic
jg50266.t1	trihelix transcription factor asil2
jg50265.t1	aspartyl protease
jg50254.t1	lrr nb arc disease resistance
jg50249.t1	phosphatidylinositol phosphate kinase
jg50248.t1	lateral root primordium isoform a
jg174702.t1	long after far red isoform
jg174702.t2	long after far red isoform
jg174705.t1	nrt1 ptr
jg174706.t1	nrt1 ptr
jg174708.t1	lrr nb arc disease resistance
jg174745.t1	two component response regulator
jg174747.t1	early nodulin
jg174753.t1	nadh quinone oxidoreductase subunit n
jg174758.t1	cytochrome b
jg141830.t1	ring type e3 ubiquitin transferase
jg141832.t1	ompdecase
jg141844.t1	adp ribosylation factor gtpase activating agd11 isoform
jg141846.t1	glutaredoxin
jg141859.t1	sensitivity to red light reduced
jg141864.t1	f box isoform
jg105487.t1	f box skip5
jg105492.t1	dna directed rna polymerases i ii subunit
jg105494.t1	lnk2 isoform
jg105495.t1	lnk2 isoform
jg105501.t1	beclin
jg105505.t1	annexin
jg105515.t1	annexin
jg105516.t1	integrator complex subunit
jg105523.t1	nad p h dehydrogenase quinone
jg105543.t1	ank_rep_region
jg105550.t1	u box
jg105551.t1	u3 small nucleolar ribonucleoprotein imp4
jg105552.t1	monothiol glutaredoxin
jg41351.t1	g type lectin s receptor serine threonine kinase
jg41352.t1	g type lectin s receptor serine threonine kinase
jg41353.t1	trichome birefringence
jg41357.t1	g type lectin s receptor serine threonine kinase
jg41362.t2	g type lectin s receptor serine threonine kinase
jg41369.t1	disease resistance tir nbs lrr class
jg41370.t1	disease resistance tir nbs lrr class
jg41371.t1	disease resistance tir nbs lrr class
jg41372.t1	short chain dehydrogenase reductase
jg41373.t1	50s ribosomal l27
jg41384.t1	cam_binding
jg41385.t1	atp dependent rna helicase
jg41386.t1	subtilisin chymotrypsin inhibitor
jg17085.t1	trichome birefringence
jg17076.t1	conglutin beta
jg17073.t1	conglutin beta
jg17072.t1	conglutin beta
jg6661.t1	caffeic acid o methyltransferase
jg186020.t1	dirigent
jg186011.t1	dirigent
jg186010.t1	agamous mads box agl62
jg186007.t1	rrp15
jg186004.t1	dirigent
jg185999.t1	proteasome subunit beta
jg185957.t1	disease resistance cc nbs lrr class
jg185946.t1	dirigent
jg185944.t1	lrr nb arc disease resistance
jg185942.t1	disease resistance cc nbs lrr
jg185941.t1	lrr nb arc disease resistance
jg185940.t1	lrr nb arc disease resistance
jg185937.t1	disease resistance cc nbs lrr
jg185936.t1	gras
jg185935.t1	crossover junction endonuclease mus81
jg185931.t1	early responsive to dehydration
jg185929.t1	glycosyltransferase kobito
jg185887.t1	f box fbd lrr repeat
jg185883.t1	f box fbd lrr repeat
jg185885.t1	f box fbd lrr repeat
jg185881.t1	f box fbd lrr repeat
jg185877.t1	f box fbd lrr repeat
jg185872.t1	heat shock cognate kda
jg185869.t1	lrr nb arc disease resistance
jg185865.t1	transcription factor c2h2
jg185863.t1	zinc finger
jg185853.t1	cytokinin dehydrogenase
jg185829.t1	lrr nb arc disease resistance
jg86774.t1	biogenesis lysosome organelles complex
jg86777.t1	lrr nb arc disease resistance
jg86799.t1	zinc finger ccch isoform
jg154692.t1	arginase mitochondrial
jg131120.t1	ab hydrolase
jg131110.t1	trna specific adenosine deaminase
jg131108.t1	f box wd repeat
jg131106.t1	n terminal acetyltransferase a complex catalytic subunit
jg131102.t1	beta glucosidase
jg144587.t1	pns1 isoform
jg144605.t1	reticulata chloroplastic
jg144648.t1	lrr nb arc disease resistance
jg144653.t1	lrr nb arc disease resistance
jg144656.t1	lrr nb arc disease resistance
jg144658.t1	rna polymerase sigma factor siga
jg144679.t1	lrr nb arc disease resistance
jg15047.t1	lrr nb arc disease resistance
jg15045.t1	lrr nb arc disease resistance
jg15036.t1	alpha n acetylglucosaminidase
jg18507.t1	g patch isoform
